rank,player,shots,actual_goals,xg_sum,sb_xg_sum,xg_per_shot,actual_conversion,goals_above_xg,goals_above_xg_se
1,Lionel Andrés Messi Cuccittini,2583,442,361.35778332983284,297.7522590291,0.13989848367395774,0.1711188540456833,80.64221667016716,17.62964484549268
2,Luis Alberto Suárez Díaz,628,132,118.68065662763449,103.9096208931,0.18898193730515048,0.21019108280254778,13.319343372365509,9.810818325577984
3,Kylian Mbappé Lottin,294,55,45.71243162174348,41.0553374688,0.1554844612984472,0.1870748299319728,9.287568378256523,6.213280841583985
4,Samuel Eto''o Fils,299,63,53.93710990042062,46.8613417263,0.1803916719077613,0.21070234113712374,9.062890099579377,6.64885738060391
5,Gareth Frank Bale,121,23,14.540557681873189,12.2430176237,0.12016989819729908,0.19008264462809918,8.459442318126811,3.5767611529861107
6,Gonzalo Gerardo Higuaín,196,35,27.160720361988933,24.191318483,0.13857510388769864,0.17857142857142858,7.839279638011067,4.837036356712815
7,Ousmane Dembélé,176,27,19.366936821402827,16.5097757294,0.1100394137579706,0.1534090909090909,7.6330631785971725,4.15160335861797
8,Bartholomew Owogbalor Ogbeche,68,18,10.65506175568947,8.682555362,0.1566920846424922,0.2647058823529412,7.34493824431053,2.997582011754807
9,Ivan Rakitić,227,27,19.96433239871233,17.8013491965,0.08794860087538471,0.11894273127753303,7.03566760128767,4.267141583874909
10,Robert Pirès,60,15,8.08885319244681,7.2544678345,0.13481421987411352,0.25,6.911146807553189,2.6454415056150573
11,Xavier Hernández Creus,316,36,30.037054312994496,25.3086628614,0.09505396934491929,0.11392405063291139,5.962945687005504,5.213627630845479
12,Sergio Leonel Agüero del Castillo,141,27,21.121219111133136,17.4299312175,0.1497958802208024,0.19148936170212766,5.878780888866864,4.237611060850738
13,Rubén Castro Martín,118,23,17.35308629460036,16.3196295096,0.14706005334407085,0.19491525423728814,5.6469137053996405,3.8472250387041522
14,Zlatan Ibrahimović,224,44,38.497026000664576,28.5285539569,0.17186172321725257,0.19642857142857142,5.502973999335424,5.646313910282617
15,Karim Benzema,167,34,28.73566968073046,26.9422475716,0.1720698783277273,0.20359281437125748,5.26433031926954,4.877614836690307
16,Hatem Ben Arfa,88,12,6.748980327438471,5.9836634495,0.07669295826634627,0.13636363636363635,5.251019672561529,2.496273434711398
17,Riyad Mahrez,82,13,7.844252836133415,7.508201897,0.09566161995284653,0.15853658536585366,5.155747163866585,2.6634299131963624
18,Thierry Henry,352,56,50.91499745699692,42.4351120614,0.1446448791391958,0.1590909090909091,5.085002543003078,6.599272975370631
19,Alexis Alejandro Sánchez Sánchez,239,42,37.13131167707604,30.6685071124,0.15536113672416754,0.17573221757322174,4.868688322923958,5.600227574560355
20,Imanol Agirretxe Arruti,51,15,10.252060576234317,9.579244640999999,0.2010207956124376,0.29411764705882354,4.747939423765683,2.8620243189974452
21,Denis Cheryshev,37,8,3.279861625834174,3.133243242,0.08864490880632903,0.21621621621621623,4.720138374165826,1.7289067618338259
22,Adrián Nicolás Luna Retamar,30,6,1.6712657505829844,1.0014499780000001,0.05570885835276615,0.2,4.328734249417016,1.256248957656852
23,Ronny Rodelin,76,10,5.798744339912609,5.4911739543,0.07629926763042907,0.13157894736842105,4.201255660087391,2.314369113516939
24,James David Rodríguez Rubio,58,8,3.9141486500886526,3.2989488573,0.06748532155325263,0.13793103448275862,4.085851349911348,1.9104975974416167
25,David Villa Sánchez,196,33,29.056249359280663,23.3770140647,0.14824617020041156,0.1683673469387755,3.943750640719337,4.97481373233
